UF;Municipio;Registro;Protocolo;COBRADE;Status;Populacao;DH_Mortos;DH_Feridos;DH_Enfermos;DH_Desabrigados;DH_Desalojados;DH_Desaparecidos;DH_Outros_Afetados;DM_Unidades_Habitacionais_Danificadas;DM_Unidades_Habitacionais_Destruidas;DM_Unidades_Habitacionais_Valor;DM_Instalacoes_publicas_de_saude_Danificadas;DM_Instalacoes_publicas_de_saude_Destruidas;DM_Instalacoes_publicas_de_saude_Valor;DM_Instalacoes_publicas_de_ensino_Danificadas;DM_Instalacoes_publicas_de_ensino_Destruidas;DM_Instalacoes_publicas_de_ensino_Valor;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Danificadas;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Destruidas;DM_Instalacoes_publicas_prestadoras_de_outros_servicos_Valor;DM_Instalacoes_publicas_de_uso_comunitario_Danificadas;DM_Instalacoes_publicas_de_uso_comunitario_Destruidas;DM_Instalacoes_publicas_de_uso_comunitario_Valor;DM_Obras_de_infraestrutura_publica_Danificadas;DM_Obras_de_infraestrutura_publica_Destruidas;DM_Obras_de_infraestrutura_publica_Valor;DA_Poluicao_ou_contaminacao_da_agua;DA_Poluicao_ou_contaminacao_do_ar;DA_Poluicao_ou_contaminacao_do_solo;DA_Diminuicao_ou_exaurimento_hidrico;DA_Incendios_em_parques_APAs_ou_APPs;PEPL_Assistencia_medica_saude_publica_e_atendimento_de_emergencias_medicas;PEPL_Abastecimento_de_agua_potavel;PEPL_Esgoto_de_aguas_pluviais_e_sistema_de_esgotos_sanitarios;PEPL_Sistema_de_limpeza_urbana_e_de_recolhimento_e_destinacao_do_lixo;PEPL_Sistema_de_desinfestacao_desinfeccao_do_habitat_controle_de_pragas_e_vetores;PEPL_Geracao_e_distribuicao_de_energia_eletrica;PEPL_Telecomunicacoes;PEPL_Transportes_locais_regionais_e_de_longo_curso;PEPL_Distribuicao_de_combustiveis_especialmente_os_de_uso_domestico;PEPL_Seguranca_publica;PEPL_Ensino;PEPR_Agricultura;PEPR_Pecuaria;PEPR_Industria;PEPR_Comercio;PEPR_Servicos
RS;Paraiso do Sul;30/12/2022;RS-F-4314027-14110-20221230;14110 - Estiagem;Registro;7336;0.0;0.0;0.0;0.0;0.0;0.0;420.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;DE 0% A 5%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Taquarucu do Sul;02/01/2023;RS-F-4321329-14110-20221229;14110 - Estiagem;Registro;2970;0.0;0.0;0.0;0.0;0.0;0.0;1812.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;MAIS DE 20%;;0.0;30500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,29E+14;7527500.0;0.0;0.0;0.0
RS;Mata;29/12/2022;RS-F-4312104-14110-20221229;14110 - Estiagem;Registro;5111;0.0;0.0;0.0;0.0;0.0;0.0;325.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;DE 5% A 10%;;0.0;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1680000.0;2969515.0;0.0;0.0;0.0
RS;Lajeado do Bugre;02/01/2023;RS-F-4311429-14110-20221229;14110 - Estiagem;Registro;2487;0.0;0.0;0.0;0.0;0.0;0.0;2487.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;MAIS DE 20%;;0.0;198840.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2,26E+16;210000.0;0.0;0.0;0.0
RS;Boa Vista do Incra;03/01/2023;RS-F-4302238-14110-20221229;14110 - Estiagem;Registro;2425;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Sao Martinho da Serra;28/12/2022;RS-F-4319125-14110-20221228;14110 - Estiagem;Registro;3201;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Rolador;29/12/2022;RS-F-4315958-14110-20221228;14110 - Estiagem;Registro;2546;0.0;0.0;0.0;0.0;0.0;0.0;2546.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;MAIS DE 20%;;0.0;436723.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3,13E+13;7810883.2;0.0;0.0;0.0
RS;Santa Maria;28/12/2022;RS-F-4316907-14110-20221228;14110 - Estiagem;Registro;261027;0.0;0.0;0.0;0.0;0.0;0.0;261027.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;DE 0% A 5%;;0.0;9,46E+18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2,17E+14;1378728.0;0.0;0.0;0.0
RS;Liberato Salzano;28/12/2022;RS-F-4311601-14110-20221228;14110 - Estiagem;Registro;5780;0.0;0.0;0.0;0.0;0.0;0.0;5289.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;MAIS DE 20%;;0.0;17010.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3,12E+16;1844500.0;0.0;0.0;0.0
RS;Jari;27/12/2022;RS-F-4311130-14110-20221227;14110 - Estiagem;Registro;3575;0.0;0.0;0.0;0.0;0.0;0.0;3575.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;MAIS DE 20%;;0.0;126146.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2524392.0;248908.8;0.0;0.0;0.0
RS;Sananduva;28/12/2022;RS-F-4316600-13213-20221227;13213 - Tempestade Local/Convectiva - Granizo;Registro;15373;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RS;Cerro Branco;29/12/2022;RS-F-4305132-14110-20221227;14110 - Estiagem;Registro;4454;0.0;0.0;0.0;0.0;0.0;0.0;4454.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;MAIS DE 20%;;0.0;89000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,01E+15;0.0;0.0;0.0;0.0
RS;Rolador;28/12/2022;RS-F-4315958-14110-20221227;14110 - Estiagem;Registro;2546;0.0;0.0;0.0;0.0;0.0;0.0;2546.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;MAIS DE 20%;;0.0;478923.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3,13E+13;7810883.2;0.0;0.0;0.0
RS;Cruz Alta;28/12/2022;RS-F-4306106-14110-20221226;14110 - Estiagem;Registro;62825;0.0;0.0;0.0;0.0;0.0;0.0;850.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;DE 5% A 10%;;0.0;7000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2,74E+14;302016.0;0.0;0.0;0.0
RS;Cristal do Sul;27/12/2022;RS-F-4306072-14110-20221226;14110 - Estiagem;Registro;2826;0.0;0.0;0.0;0.0;0.0;0.0;2826.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;MAIS DE 20%;;0.0;70285.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1,32E+14;2265000.0;0.0;0.0;0.0
